state,city,icao
AK,Bethel,PABC
AK,Fairbanks,PAPD
AK,Kenai,PAHG
AK,King Salmon,PAKC
AK,Middleton Island,PAIH
AK,Nome,PAEC
AK,Sitka,PACG
AL,Birmingham,KBMX
AL,Fort Rucker,KEOX
AL,Huntsville,KHTX
AL,Maxwell AFB,KMXX
AL,Mobile,KMOB
AR,Fort Smith,KSRX
AR,Little Rock,KLZK
AZ,Flagstaff,KFSX
AZ,Phoenix,KIWA
AZ,Tucson,KEMX
CA,Beale AFB,KBBX
CA,Edwards AFB,KEYX
CA,Eureka,KBHX
CA,Los Angeles,KVTX
CA,Sacramento,KDAX
CA,San Diego,KNKX
CA,San Francisco,KMUX
CA,San Joaquin Valley,KHNX
CA,Santa Ana Mountains,KSOX
CA,Vandenberg AFB,KVBX
CO,Denver,KFTG
CO,Grand Junction,KGJX
CO,Pueblo,KPUX
DE,Dover AFB,KDOX
FL,Eglin AFB,KEVX
FL,Jacksonville,KJAX
FL,Key West,KBYX
FL,Melbourne,KMLB
FL,Miami,KAMX
FL,Tallahassee,KTLH
FL,Tampa,KTBW
GA,Atlanta,KFFC
GA,Moody AFB,KVAX
GA,Robins AFB,KJGX
HI,Kauai,PHKI
HI,Kohala,PHKM
HI,Molokai,PHMO
HI,South Shore,PHWA
IA,Davenport,KDVN
IA,Des Moines,KDMX
ID,Boise,KCBX
ID,Pocatello,KSFX
IL,Chicago,KLOT
IL,Lincoln,KILX
IN,Owensville,KVWX
IN,Indianapolis,KIND
IN,North Webster,KIWX
KS,Dodge City,KDDC
KS,Goodland,KGLD
KS,Topeka,KTWX
KS,Wichita,KICT
KY,Fort Campbell,KHPX
KY,Jackson,KJKL
KY,Louisville,KLVX
KY,Paducah,KPAH
LA,Fort Polk,KPOE
LA,Lake Charles,KLCH
LA,New Orleans,KLIX
LA,Shreveport,KSHV
MA,Boston,KBOX
ME,Houlton,KCBW
ME,Gray,KGYX
MI,Detroit,KDTX
MI,Gaylord,KAPX
MI,Grand Rapids,KGRR
MI,Marquette,KMQT
MN,Duluth,KDLH
MN,Minneapolis,KMPX
MO,Kansas City,KEAX
MO,Springfield,KSGF
MO,St. Louis,KLSX
MS,Jackson,KDGX
MS,Columbus AFB,KGWX
MT,Billings,KBLX
MT,Glasgow,KGGW
MT,Great Falls,KTFX
MT,Missoula,KMSX
NC,Morehead City,KHMX
NC,Raleigh,KRAX
NC,Wilmington,KLTX
ND,Bismarck,KBIS
ND,Grand Forks,KMVX
ND,Minot AFB,KMBX
NE,Grand Island,KUEX
NE,North Platte,KLNX
NE,Omaha,KOAX
NM,Albuquerque,KABX
NM,Cannon AFB,KFDX
NM,Holloman AFB,KHDX
NV,Elko,KLRX
NV,Las Vegas,KESX
NV,Reno,KRGX
NY,Albany,KENX
NY,Binghamton,KBGM
NY,Buffalo,KBUF
NY,Montague,KTYX
NY,New York City,KOKX
OH,Wilmington,KILN
OH,Cleveland,KCLE
OK,Frederick,KFDR
OK,Oklahoma City,KTLX
OK,Tulsa,KINX
OK,Vance AFB,KVNX
OR,Medford,KMAX
OR,Pendleton,KPDT
OR,Portland,KRTX
PA,Philadelphia,KDIX
PA,Pittsburgh,KPBZ
PA,State College,KCCX
SC,Charleston,KCLX
SC,Columbia,KCAE
SC,Greer,KGSP
SD,Aberdeen,KABR
SD,Rapid City,KUDX
SD,Sioux Falls,KFSD
TN,Knoxville,KMRX
TN,Memphis,KNQA
TN,Nashville,KOHX
TX,Amarillo,KAMA
TX,Austin,KEWX
TX,Brownsville,KBRO
TX,Corpus Christi,KCRP
TX,Dallas,KFWS
TX,Dyess AFB,KDYX
TX,El Paso,KEPZ
TX,Fort Hood,KGRK
TX,Houston,KHGX
TX,Laughlin AFB,KDFX
TX,Lubbock,KLBB
TX,Midland,KMAF
TX,San Angelo,KSJT
UT,Cedar City,KICX
UT,Salt Lake City,KMTX
VA,Norfolk,KAKQ
VA,Roanoke,KFCX
VA,Sterling,KLWX
VT,Burlington,KCXX
WA,Langley Hill,KLGX
WA,Seattle,KATX
WA,Spokane,KOTX
WI,Green Bay,KGRB
WI,La Crosse,KARX
WI,Milwaukee,KMKX
WV,Charleston,KRLX
WY,Cheyenne,KCYS
WY,Riverton,KRIW
