Bethel, AK: PABC
Fairbanks, AK: PAPD
Kenai, AK: PAHG
King Salmon, AK: PAKC
Middleton Island, AK: PAIH
Nome, AK: PAEC
Sitka, AK: PACG
Birmingham, AL: KBMX
Fort Rucker, AL: KEOX
Huntsville, AL: KHTX
Maxwell AFB, AL: KMXX
Mobile, AL: KMOB
Fort Smith, AR: KSRX
Little Rock, AR: KLZK
Flagstaff, AZ: KFSX
Phoenix, AZ: KIWA
Tucson, AZ: KEMX
Beale AFB, CA: KBBX
Edwards AFB, CA: KEYX
Eureka, CA: KBHX
Los Angeles, CA: KVTX
Sacramento, CA: KDAX
San Diego, CA: KNKX
San Francisco, CA: KMUX
San Joaquin Valley, CA: KHNX
Santa Ana Mountains, CA: KSOX
Vandenberg AFB, CA: KVBX
Denver, CO: KFTG
Grand Junction, CO: KGJX
Pueblo, CO: KPUX
Dover AFB, DE: KDOX
Eglin AFB, FL: KEVX
Jacksonville, FL: KJAX
Key West, FL: KBYX
Melbourne, FL: KMLB
Miami, FL: KAMX
Tallahassee, FL: KTLH
Tampa, FL: KTBW
Atlanta, GA: KFFC
Moody AFB, GA: KVAX
Robins AFB, GA: KJGX
Kauai, HI: KHKI
Kohala, HI: KHKM
Molokai, HI: KHMO
South Shore, HI: KHWA
Davenport, IA: KDVN
Des Moines, IA: KDMX
Boise, ID: KCBX
Pocatello, ID: KSFX
Chicago, IL: KLOT
Lincoln, IL: KILX
Owensville, IN: KVWX
Indianapolis, IN: KIND
North Webster, IN: KIWX
Dodge City, KS: KDDC
Goodland, KS: KGLD
Topeka, KS: KTWX
Wichita, KS: KICT
Fort Campbell, KY: KHPX
Jackson, KY: KJKL
Louisville, KY: KLVX
Paducah, KY: KPAH
Fort Polk, LA: KPOE
Lake Charles, LA: KLCH
New Orleans, LA: KLIX
Shreveport, LA: KSHV
Boston, MA: KBOX
Houlton, ME: KCBW
Gray, ME: KGYX
Detroit, MI: KDTX
Gaylord, MI: KAPX
Grand Rapids, MI: KGRR
Marquette, MI: KMQT
Duluth, MN: KDLH
Minneapolis, MN: KMPX
Kansas City, MO: KEAX
Springfield, MO: KSGF
St. Louis, MO: KLSX
Jackson, MS: KDGX
Columbus AFB, MS: KGWX
Billings, MT: KBLX
Glasgow, MT: KGGW
Great Falls, MT: KTFX
Missoula, MT: KMSX
Morehead City, NC: KHMX
Raleigh, NC: KRAX
Wilmington, NC: KLTX
Bismarck, ND: KBIS
Grand Forks, ND: KMVX
Minot AFB, ND: KMBX
Grand Island, NE: KUEX
North Platte, NE: KLNX
Omaha, NE: KOAX
Albuquerque, NM: KABX
Cannon AFB, NM: KFDX
Holloman AFB, NM: KHDX
Elko, NV: KLRX
Las Vegas, NV: KESX
Reno, NV: KRGX
Albany, NY: KENX
Binghamton, NY: KBGM
Buffalo, NY: KBUF
Montague, NY: KTYX
New York City, NY: KOKX
Wilmington, OH: KILN
Cleveland, OH: KCLE
Frederick, OK: KFDR
Oklahoma City, OK: KTLX
Tulsa, OK: KINX
Vance AFB, OK: KVNX
Medford, OR: KMAX
Pendleton, OR: KPDT
Portland, OR: KRTX
Philadelphia, PA: KDIX
Pittsburgh, PA: KPBZ
State College, PA: KCCX
Charleston, SC: KCLX
Columbia, SC: KCAE
Greer, SC: KGSP
Aberdeen, SD: KABR
Rapid City, SD: KUDX
Sioux Falls, SD: KFSD
Knoxville, TN: KMRX
Memphis, TN: KNQA
Nashville, TN: KOHX
Amarillo, TX: KAMA
Austin, TX: KEWX
Brownsville, TX: KBRO
Corpus Christi, TX: KCRP
Dallas, TX: KFWS
Dyess AFB, TX: KDYX
El Paso, TX: KEPZ
Fort Hood, TX: KGRK
Houston, TX: KHGX
Laughlin AFB, TX: KDFX
Lubbock, TX: KLBB
Midland, TX: KMAF
San Angelo, TX: KSJT
Cedar City, UT: KICX
Salt Lake City, UT: KMTX
Norfolk, VA: KAKQ
Roanoke, VA: KFCX
Sterling, VA: KLWX
Burlington, VT: KCXX
Langley Hill, WA: KLGX
Seattle, WA: KATX
Spokane, WA: KOTX
Green Bay, WI: KGRB
La Crosse, WI: KARX
Milwaukee, WI: KMKX
Charleston, WV: KRLX
Cheyenne, WY: KCYS
Riverton, WY: KRIW
